Date,Site,Latitude,Longitude,Distance From Outflow,BMWP,ASPT,Shannon,Simpson,Temperature,pH,DO,TDS,Nitrate,Phosphate,Faecal Coliforms,Escherichia coli,Enterococci
24/11/2023,US1,50.868572,-0.778269,-647.85,15,1.5,,,,,,,,,,,
24/11/2023,US1,50.868572,-0.778269,-647.85,,,,,,,,,,,,,
24/11/2023,US1,50.868572,-0.778269,-647.85,,,,,,,,,,,,,
02/02/2024,US1,50.868572,-0.778269,-647.85,,,,,,,,,,,,,
02/02/2024,US1,50.868572,-0.778269,-647.85,,,,,,,,,,,,,
02/02/2024,US1,50.868572,-0.778269,-647.85,,,,,,,,,,,,,
27/02/2024,US1,50.868572,-0.778269,-647.85,,,,,,7.03,8.19,502.6,26.9,0.36,,,
27/02/2024,US1,50.868572,-0.778269,-647.85,,,,,,7.73,8.09,499.3,26.4,0.44,,,
27/02/2024,US1,50.868572,-0.778269,-647.85,,,,,,7.81,7.99,501.3,24.3,0.33,,,
21/03/2024,US1,50.868572,-0.778269,-647.85,,,,,13.1,7.59,9.95,509.6,1.1,0.29,,,
21/03/2024,US1,50.868572,-0.778269,-647.85,,,,,13.7,7.82,9.86,490.7,0.3,0.37,,,
21/03/2024,US1,50.868572,-0.778269,-647.85,,,,,12.8,7.88,10.24,492.1,0.4,0.32,,,
16/05/2024,US1,50.868572,-0.778269,-647.85,46,6.571428571,,,12.8,7.38,8.47,508.2,1.1,0.09,380,610,1300
16/05/2024,US1,50.868572,-0.778269,-647.85,66,7.333333333,,,12.6,7.53,8.46,499.1,12,0.13,510,650,170
16/05/2024,US1,50.868572,-0.778269,-647.85,65,8.125,,,12.7,7.64,8.49,499.8,15.3,0.2,790,560,110
24/11/2023,US2,50.864826,-0.774551,-119.7,12,2,,,,,,,,,,,
24/11/2023,US2,50.864826,-0.774551,-119.7,,,,,,,,,,,,,
24/11/2023,US2,50.864826,-0.774551,-119.7,,,,,,,,,,,,,
02/02/2024,US2,50.864826,-0.774551,-119.7,,,,,,,,,29.7,0.11,,,
02/02/2024,US2,50.864826,-0.774551,-119.7,,,,,,,,,23.4,0.4,,,
02/02/2024,US2,50.864826,-0.774551,-119.7,48,8,,,,,,,19,0.2,,,
27/02/2024,US2,50.864826,-0.774551,-119.7,,,,,10.9,7.2,9.26,512.6,3,0.24,,,
